candidate_id,rank,score,reasoning
CAND_0018499,1,0.979600,"Senior Machine Learning Engineer with 7.2 yrs experience at Zomato; relevant skills: Pinecone, Weaviate, Milvus; Noida, Uttar Pradesh. Platform signals are strong: immediate availability; GitHub score 95."
CAND_0071974,2,0.945825,"Senior AI Engineer with 7.8 yrs experience at Netflix; relevant skills: Pinecone, Weaviate, Qdrant; Vizag, Andhra Pradesh. Platform signals are strong: high response rate (76%); GitHub score 83."
CAND_0079387,3,0.923217,"AI Engineer with 6.9 yrs experience at Microsoft; relevant skills: OpenSearch, Recommendation Systems, Learning to Rank; Trivandrum, Kerala. Platform signals are strong: high response rate (81%); GitHub score 64."
CAND_0086022,4,0.921060,"Senior Applied Scientist with 5.3 yrs experience at Sarvam AI; relevant skills: Pinecone, Elasticsearch, Recommendation Systems; Kolkata, West Bengal. Platform signals are strong: immediate availability; GitHub score 75."
CAND_0077337,5,0.920285,"Staff Machine Learning Engineer with 7 yrs experience at Paytm; relevant skills: Pinecone, Qdrant, OpenSearch; Kochi, Kerala. Platform signals are strong: active 21d ago; high response rate (95%)."
CAND_0002025,6,0.917645,"Senior AI Engineer with 5.9 yrs experience at Apple; relevant skills: Pinecone, Weaviate, FAISS; Trivandrum, Kerala. Platform signals are strong: active 21d ago; high response rate (80%)."
CAND_0008425,7,0.916465,"Senior NLP Engineer with 7.8 yrs experience at Ola; relevant skills: Qdrant, Semantic Search, Information Retrieval; Kolkata, West Bengal. Career history shows strong applied AI/ML experience."
CAND_0029367,8,0.898610,"Senior Data Scientist with 5.7 yrs experience at Rephrase.ai; relevant skills: Pinecone, FAISS, Recommendation Systems; Bangalore, Karnataka. Platform signals are strong: active 27d ago; high response rate (77%)."
CAND_0030031,9,0.895812,"AI Engineer with 5.7 yrs experience at Microsoft; relevant skills: Milvus, Information Retrieval, Vector Search; Trivandrum, Kerala. Platform signals are strong: active 25d ago; high response rate (94%)."
CAND_0005649,10,0.895460,"Senior Data Scientist with 7.4 yrs experience at Sarvam AI; relevant skills: Weaviate, Semantic Search, Information Retrieval; Delhi, Delhi. Platform signals are strong: GitHub score 81."
CAND_0062247,11,0.889280,"AI Engineer with 7.3 yrs experience at Google; relevant skills: Pinecone, Qdrant, Information Retrieval; Kochi, Kerala. Platform signals are strong: high response rate (78%)."
CAND_0081846,12,0.886730,"Lead Ai Engineer with 6.7 yrs experience at Razorpay; relevant skills: Qdrant, Elasticsearch, Semantic Search; Jaipur, Rajasthan. Career history shows strong applied AI/ML experience."
